#gene_id	gene_symbol	rank	score	hpo_implicated	hpo_description_implicated	phenotype_specificity
2261	FGFR3	1	10.13	[{'HP:0002019': 0.2}, {'HP:0000685': 0.7}, {'HP:0002360': 0.9}, {'HP:0000010': 0.5}, {'HP:0001250': 0.2}, {'HP:0001382': 0.5}, {'HP:0006482': 0.7}, {'HP:0004626': 0.7}, {'HP:0001763': 0.2}, {'HP:0002650': 0.8}, {'HP:0001317': 0.2}, {'HP:0012418': 0.5}, {'HP:0001263': 0.3}]	[{'Constipation': 0.2}, {'Hypoplasia of teeth': 0.7}, {'Sleep disturbance': 0.9}, {'Recurrent urinary tract infections': 0.5}, {'Seizure': 0.2}, {'Joint hypermobility': 0.5}, {'Abnormality of dental morphology': 0.7}, {'Lumbar scoliosis': 0.7}, {'Pes planus': 0.2}, {'Scoliosis': 0.8}, {'Abnormal cerebellum morphology': 0.2}, {'Hypoxemia': 0.5}, {'Global developmental delay': 0.3}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
4000	LMNA	2	8.96	[{'HP:0000685': 0.7}, {'HP:0002360': 0.4}, {'HP:0003202': 0.9}, {'HP:0001382': 0.7}, {'HP:0006482': 0.7}, {'HP:0004626': 0.2}, {'HP:0030148': 0.2}, {'HP:0001763': 0.9}, {'HP:0002650': 0.4}, {'HP:0001263': 0.3}]	[{'Hypoplasia of teeth': 0.7}, {'Sleep disturbance': 0.4}, {'Skeletal muscle atrophy': 0.9}, {'Joint hypermobility': 0.7}, {'Abnormality of dental morphology': 0.7}, {'Lumbar scoliosis': 0.2}, {'Heart murmur': 0.2}, {'Pes planus': 0.9}, {'Scoliosis': 0.4}, {'Global developmental delay': 0.3}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
3845	KRAS	3	7.98	[{'HP:0002019': 0.5}, {'HP:0000685': 0.2}, {'HP:0002360': 0.2}, {'HP:0003202': 0.2}, {'HP:0000010': 0.5}, {'HP:0001250': 0.2}, {'HP:0001257': 0.2}, {'HP:0001382': 0.5}, {'HP:0006482': 0.7}, {'HP:0004626': 0.2}, {'HP:0001763': 0.2}, {'HP:0002650': 0.4}, {'HP:0001317': 0.2}, {'HP:0012418': 0.2}, {'HP:0001263': 0.2}]	[{'Constipation': 0.5}, {'Hypoplasia of teeth': 0.2}, {'Sleep disturbance': 0.2}, {'Skeletal muscle atrophy': 0.2}, {'Recurrent urinary tract infections': 0.5}, {'Seizure': 0.2}, {'Spasticity': 0.2}, {'Joint hypermobility': 0.5}, {'Abnormality of dental morphology': 0.7}, {'Lumbar scoliosis': 0.2}, {'Pes planus': 0.2}, {'Scoliosis': 0.4}, {'Abnormal cerebellum morphology': 0.2}, {'Hypoxemia': 0.2}, {'Global developmental delay': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
3265	HRAS	4	7.94	[{'HP:0000685': 0.5}, {'HP:0002360': 0.4}, {'HP:0000010': 0.5}, {'HP:0001250': 0.2}, {'HP:0001382': 0.5}, {'HP:0006482': 0.5}, {'HP:0004626': 0.2}, {'HP:0030148': 0.2}, {'HP:0001763': 0.2}, {'HP:0002650': 0.4}, {'HP:0001317': 0.6}, {'HP:0012418': 0.2}, {'HP:0001263': 0.3}]	[{'Hypoplasia of teeth': 0.5}, {'Sleep disturbance': 0.4}, {'Recurrent urinary tract infections': 0.5}, {'Seizure': 0.2}, {'Joint hypermobility': 0.5}, {'Abnormality of dental morphology': 0.5}, {'Lumbar scoliosis': 0.2}, {'Heart murmur': 0.2}, {'Pes planus': 0.2}, {'Scoliosis': 0.4}, {'Abnormal cerebellum morphology': 0.6}, {'Hypoxemia': 0.2}, {'Global developmental delay': 0.3}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
4204	MECP2	5	7.91	[{'HP:0002019': 0.7}, {'HP:0000685': 0.2}, {'HP:0002360': 0.7}, {'HP:0003202': 0.4}, {'HP:0000010': 0.2}, {'HP:0001250': 0.3}, {'HP:0001257': 0.4}, {'HP:0006482': 0.2}, {'HP:0004626': 0.2}, {'HP:0001763': 0.2}, {'HP:0002650': 0.6}, {'HP:0001317': 0.2}, {'HP:0012418': 0.2}, {'HP:0001263': 0.5}]	[{'Constipation': 0.7}, {'Hypoplasia of teeth': 0.2}, {'Sleep disturbance': 0.7}, {'Skeletal muscle atrophy': 0.4}, {'Recurrent urinary tract infections': 0.2}, {'Seizure': 0.3}, {'Spasticity': 0.4}, {'Abnormality of dental morphology': 0.2}, {'Lumbar scoliosis': 0.2}, {'Pes planus': 0.2}, {'Scoliosis': 0.6}, {'Abnormal cerebellum morphology': 0.2}, {'Hypoxemia': 0.2}, {'Global developmental delay': 0.5}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
2263	FGFR2	6	7.73	[{'HP:0002019': 0.2}, {'HP:0000685': 0.9}, {'HP:0002360': 0.2}, {'HP:0000010': 0.2}, {'HP:0001250': 0.2}, {'HP:0001382': 0.2}, {'HP:0006482': 0.9}, {'HP:0004626': 0.2}, {'HP:0001763': 0.5}, {'HP:0002650': 0.4}, {'HP:0001317': 0.2}, {'HP:0001263': 0.3}]	[{'Constipation': 0.2}, {'Hypoplasia of teeth': 0.9}, {'Sleep disturbance': 0.2}, {'Recurrent urinary tract infections': 0.2}, {'Seizure': 0.2}, {'Joint hypermobility': 0.2}, {'Abnormality of dental morphology': 0.9}, {'Lumbar scoliosis': 0.2}, {'Pes planus': 0.5}, {'Scoliosis': 0.4}, {'Abnormal cerebellum morphology': 0.2}, {'Global developmental delay': 0.3}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
673	BRAF	7	7.43	[{'HP:0002019': 0.5}, {'HP:0000685': 0.2}, {'HP:0002360': 0.4}, {'HP:0000010': 0.2}, {'HP:0001250': 0.3}, {'HP:0001382': 0.5}, {'HP:0006482': 0.5}, {'HP:0004626': 0.2}, {'HP:0001763': 0.2}, {'HP:0002650': 0.4}, {'HP:0001317': 0.2}, {'HP:0012418': 0.2}, {'HP:0001263': 0.3}]	[{'Constipation': 0.5}, {'Hypoplasia of teeth': 0.2}, {'Sleep disturbance': 0.4}, {'Recurrent urinary tract infections': 0.2}, {'Seizure': 0.3}, {'Joint hypermobility': 0.5}, {'Abnormality of dental morphology': 0.5}, {'Lumbar scoliosis': 0.2}, {'Pes planus': 0.2}, {'Scoliosis': 0.4}, {'Abnormal cerebellum morphology': 0.2}, {'Hypoxemia': 0.2}, {'Global developmental delay': 0.3}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
2260	FGFR1	8	7.04	[{'HP:0002019': 0.5}, {'HP:0000685': 0.5}, {'HP:0002360': 0.2}, {'HP:0001250': 0.2}, {'HP:0001257': 0.2}, {'HP:0001382': 0.2}, {'HP:0006482': 0.7}, {'HP:0001763': 0.7}, {'HP:0002650': 0.4}, {'HP:0001317': 0.2}, {'HP:0001263': 0.3}]	[{'Constipation': 0.5}, {'Hypoplasia of teeth': 0.5}, {'Sleep disturbance': 0.2}, {'Seizure': 0.2}, {'Spasticity': 0.2}, {'Joint hypermobility': 0.2}, {'Abnormality of dental morphology': 0.7}, {'Pes planus': 0.7}, {'Scoliosis': 0.4}, {'Abnormal cerebellum morphology': 0.2}, {'Global developmental delay': 0.3}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
2316	FLNA	9	7.03	[{'HP:0002019': 0.9}, {'HP:0000685': 0.2}, {'HP:0003202': 0.2}, {'HP:0001250': 0.2}, {'HP:0001257': 0.2}, {'HP:0001382': 0.9}, {'HP:0006482': 0.2}, {'HP:0004626': 0.2}, {'HP:0030148': 0.2}, {'HP:0001763': 0.5}, {'HP:0002650': 0.4}, {'HP:0001317': 0.4}, {'HP:0001263': 0.2}]	[{'Constipation': 0.9}, {'Hypoplasia of teeth': 0.2}, {'Skeletal muscle atrophy': 0.2}, {'Seizure': 0.2}, {'Spasticity': 0.2}, {'Joint hypermobility': 0.9}, {'Abnormality of dental morphology': 0.2}, {'Lumbar scoliosis': 0.2}, {'Heart murmur': 0.2}, {'Pes planus': 0.5}, {'Scoliosis': 0.4}, {'Abnormal cerebellum morphology': 0.4}, {'Global developmental delay': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
2200	FBN1	10	6.62	[{'HP:0002360': 0.2}, {'HP:0001382': 0.7}, {'HP:0006482': 0.2}, {'HP:0004626': 0.2}, {'HP:0030148': 0.5}, {'HP:0001763': 0.7}, {'HP:0002650': 0.6}, {'HP:0001317': 0.2}, {'HP:0012418': 0.5}, {'HP:0001263': 0.2}]	[{'Sleep disturbance': 0.2}, {'Joint hypermobility': 0.7}, {'Abnormality of dental morphology': 0.2}, {'Lumbar scoliosis': 0.2}, {'Heart murmur': 0.5}, {'Pes planus': 0.7}, {'Scoliosis': 0.6}, {'Abnormal cerebellum morphology': 0.2}, {'Hypoxemia': 0.5}, {'Global developmental delay': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
