#gene_id	gene_symbol	rank	score	hpo_implicated	hpo_description_implicated	phenotype_specificity
4000	LMNA	1	9.38	[{'HP:0002204': 0.2}, {'HP:0001382': 0.7}, {'HP:0002617': 0.9}, {'HP:0002650': 0.4}, {'HP:0001369': 0.5}, {'HP:0001167': 0.2}, {'HP:0002099': 0.2}, {'HP:0004942': 0.7}, {'HP:0004970': 0.7}, {'HP:0000545': 0.2}, {'HP:0001677': 0.7}, {'HP:0001297': 0.7}]	[{'Pulmonary embolism': 0.2}, {'Joint hypermobility': 0.7}, {'Vascular dilatation': 0.9}, {'Scoliosis': 0.4}, {'Arthritis': 0.5}, {'Abnormality of finger': 0.2}, {'Asthma': 0.2}, {'Aortic aneurysm': 0.7}, {'Ascending tubular aorta aneurysm': 0.7}, {'Myopia': 0.2}, {'Coronary artery atherosclerosis': 0.7}, {'Stroke': 0.7}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
59	ACTA2	2	8.53	[{'HP:0001250': 0.2}, {'HP:0001382': 0.2}, {'HP:0002617': 0.9}, {'HP:0002650': 0.2}, {'HP:0001167': 0.2}, {'HP:0002099': 0.2}, {'HP:0004942': 0.9}, {'HP:0004970': 1.0}, {'HP:0001677': 0.7}, {'HP:0031784': 0.2}, {'HP:0001297': 0.9}]	[{'Seizure': 0.2}, {'Joint hypermobility': 0.2}, {'Vascular dilatation': 0.9}, {'Scoliosis': 0.2}, {'Abnormality of finger': 0.2}, {'Asthma': 0.2}, {'Aortic aneurysm': 0.9}, {'Ascending tubular aorta aneurysm': 1.0}, {'Coronary artery atherosclerosis': 0.7}, {'Abnormal ascending aorta morphology': 0.2}, {'Stroke': 0.9}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
1281	COL3A1	3	8.42	[{'HP:0001250': 0.2}, {'HP:0002204': 0.5}, {'HP:0001382': 0.9}, {'HP:0002617': 0.9}, {'HP:0002650': 0.2}, {'HP:0001369': 0.2}, {'HP:0001167': 0.2}, {'HP:0004942': 0.9}, {'HP:0004970': 1.0}, {'HP:0031784': 0.2}, {'HP:0001297': 0.7}]	[{'Seizure': 0.2}, {'Pulmonary embolism': 0.5}, {'Joint hypermobility': 0.9}, {'Vascular dilatation': 0.9}, {'Scoliosis': 0.2}, {'Arthritis': 0.2}, {'Abnormality of finger': 0.2}, {'Aortic aneurysm': 0.9}, {'Ascending tubular aorta aneurysm': 1.0}, {'Abnormal ascending aorta morphology': 0.2}, {'Stroke': 0.7}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
3077	HFE	4	8.3	[{'HP:0001370': 0.5}, {'HP:0002354': 0.7}, {'HP:0001382': 0.2}, {'HP:0002617': 0.5}, {'HP:0001369': 0.7}, {'HP:0001167': 0.2}, {'HP:0002099': 0.5}, {'HP:0004942': 0.2}, {'HP:0004970': 0.5}, {'HP:0000545': 0.4}, {'HP:0001677': 0.7}, {'HP:0007165': 0.2}, {'HP:0001297': 0.5}]	[{'Rheumatoid arthritis': 0.5}, {'Memory impairment': 0.7}, {'Joint hypermobility': 0.2}, {'Vascular dilatation': 0.5}, {'Arthritis': 0.7}, {'Abnormality of finger': 0.2}, {'Asthma': 0.5}, {'Aortic aneurysm': 0.2}, {'Ascending tubular aorta aneurysm': 0.5}, {'Myopia': 0.4}, {'Coronary artery atherosclerosis': 0.7}, {'Periventricular heterotopia': 0.2}, {'Stroke': 0.5}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
3845	KRAS	5	8.23	[{'HP:0001250': 0.2}, {'HP:0002204': 0.2}, {'HP:0001370': 0.2}, {'HP:0002354': 0.5}, {'HP:0001382': 0.5}, {'HP:0002650': 0.4}, {'HP:0001369': 0.2}, {'HP:0001167': 0.4}, {'HP:0002099': 0.2}, {'HP:0004942': 0.2}, {'HP:0004970': 0.2}, {'HP:0000545': 0.4}, {'HP:0007165': 0.2}, {'HP:0001297': 0.9}]	[{'Seizure': 0.2}, {'Pulmonary embolism': 0.2}, {'Rheumatoid arthritis': 0.2}, {'Memory impairment': 0.5}, {'Joint hypermobility': 0.5}, {'Scoliosis': 0.4}, {'Arthritis': 0.2}, {'Abnormality of finger': 0.4}, {'Asthma': 0.2}, {'Aortic aneurysm': 0.2}, {'Ascending tubular aorta aneurysm': 0.2}, {'Myopia': 0.4}, {'Periventricular heterotopia': 0.2}, {'Stroke': 0.9}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
2316	FLNA	6	8.19	[{'HP:0001250': 0.2}, {'HP:0001370': 0.2}, {'HP:0001382': 0.9}, {'HP:0002617': 0.7}, {'HP:0002650': 0.4}, {'HP:0001369': 0.2}, {'HP:0001167': 0.4}, {'HP:0002099': 0.2}, {'HP:0004942': 0.9}, {'HP:0004970': 0.5}, {'HP:0007165': 1.0}, {'HP:0001297': 0.2}]	[{'Seizure': 0.2}, {'Rheumatoid arthritis': 0.2}, {'Joint hypermobility': 0.9}, {'Vascular dilatation': 0.7}, {'Scoliosis': 0.4}, {'Arthritis': 0.2}, {'Abnormality of finger': 0.4}, {'Asthma': 0.2}, {'Aortic aneurysm': 0.9}, {'Ascending tubular aorta aneurysm': 0.5}, {'Periventricular heterotopia': 1.0}, {'Stroke': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
2200	FBN1	7	8.18	[{'HP:0001382': 0.7}, {'HP:0002617': 0.7}, {'HP:0002650': 0.6}, {'HP:0001369': 0.2}, {'HP:0001167': 0.6}, {'HP:0004942': 0.9}, {'HP:0004970': 0.7}, {'HP:0000545': 0.4}, {'HP:0001677': 0.2}, {'HP:0031784': 0.2}, {'HP:0001297': 0.2}]	[{'Joint hypermobility': 0.7}, {'Vascular dilatation': 0.7}, {'Scoliosis': 0.6}, {'Arthritis': 0.2}, {'Abnormality of finger': 0.6}, {'Aortic aneurysm': 0.9}, {'Ascending tubular aorta aneurysm': 0.7}, {'Myopia': 0.4}, {'Coronary artery atherosclerosis': 0.2}, {'Abnormal ascending aorta morphology': 0.2}, {'Stroke': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
673	BRAF	8	7.36	[{'HP:0001250': 0.3}, {'HP:0002204': 0.2}, {'HP:0001370': 0.2}, {'HP:0002354': 0.2}, {'HP:0001382': 0.5}, {'HP:0002617': 0.5}, {'HP:0002650': 0.4}, {'HP:0001369': 0.2}, {'HP:0001167': 0.4}, {'HP:0002099': 0.2}, {'HP:0004942': 0.2}, {'HP:0004970': 0.2}, {'HP:0000545': 0.4}, {'HP:0007165': 0.2}, {'HP:0001297': 0.2}]	[{'Seizure': 0.3}, {'Pulmonary embolism': 0.2}, {'Rheumatoid arthritis': 0.2}, {'Memory impairment': 0.2}, {'Joint hypermobility': 0.5}, {'Vascular dilatation': 0.5}, {'Scoliosis': 0.4}, {'Arthritis': 0.2}, {'Abnormality of finger': 0.4}, {'Asthma': 0.2}, {'Aortic aneurysm': 0.2}, {'Ascending tubular aorta aneurysm': 0.2}, {'Myopia': 0.4}, {'Periventricular heterotopia': 0.2}, {'Stroke': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
5663	PSEN1	9	7.34	[{'HP:0001250': 0.3}, {'HP:0001370': 0.2}, {'HP:0002354': 0.9}, {'HP:0002617': 0.7}, {'HP:0002650': 0.2}, {'HP:0001369': 0.2}, {'HP:0002099': 0.5}, {'HP:0004942': 0.2}, {'HP:0000545': 0.2}, {'HP:0001677': 0.2}, {'HP:0007165': 0.5}, {'HP:0001297': 0.7}]	[{'Seizure': 0.3}, {'Rheumatoid arthritis': 0.2}, {'Memory impairment': 0.9}, {'Vascular dilatation': 0.7}, {'Scoliosis': 0.2}, {'Arthritis': 0.2}, {'Asthma': 0.5}, {'Aortic aneurysm': 0.2}, {'Myopia': 0.2}, {'Coronary artery atherosclerosis': 0.2}, {'Periventricular heterotopia': 0.5}, {'Stroke': 0.7}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
351	APP	10	7.21	[{'HP:0001250': 0.3}, {'HP:0001370': 0.2}, {'HP:0002354': 0.7}, {'HP:0001382': 0.2}, {'HP:0002650': 0.2}, {'HP:0001369': 0.2}, {'HP:0001167': 0.2}, {'HP:0002099': 0.2}, {'HP:0004942': 0.2}, {'HP:0004970': 0.5}, {'HP:0000545': 0.2}, {'HP:0001677': 0.5}, {'HP:0007165': 0.5}, {'HP:0001297': 0.7}]	[{'Seizure': 0.3}, {'Rheumatoid arthritis': 0.2}, {'Memory impairment': 0.7}, {'Joint hypermobility': 0.2}, {'Scoliosis': 0.2}, {'Arthritis': 0.2}, {'Abnormality of finger': 0.2}, {'Asthma': 0.2}, {'Aortic aneurysm': 0.2}, {'Ascending tubular aorta aneurysm': 0.5}, {'Myopia': 0.2}, {'Coronary artery atherosclerosis': 0.5}, {'Periventricular heterotopia': 0.5}, {'Stroke': 0.7}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
